,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,WELLSBORO,All Stations Average
count,3000.0,4626.0,4779.0,5158.0,4648.0,3241.0,5308.0,4950.0,2636.0,5196.0,5253.0,3528.0,3378.0,4636.0,5335.0,5335.0,3768.0,5075.0,3743.0,5141.0,5279.0,4361.0,4471.5
mean,0.6235666666666656,0.29675745784695134,0.29282276626909326,0.4662078324932141,0.24892426850258156,0.4149645171243439,0.7002260738507893,0.4149494949494948,0.23797420333839156,0.39438029253271745,0.6568246716162185,0.6491496598639444,0.504055654233274,0.22715703192407216,0.17212746016869754,0.3179943767572633,0.1760350318471337,0.40508374384236445,0.21228960726689813,0.47171756467613285,0.22816821367683268,0.41916991515707436,0.38775211384564306
std,1.5297476877636529,0.8934005925575582,0.9025084595997083,1.2976119550780267,1.143727066862419,1.1240694671373472,1.6142653426025304,1.1389833336909831,1.059011888139298,1.1537824063077278,1.4271339519262738,1.6137555014737723,1.358535507799142,0.7956585176682424,1.0577268813258782,0.9487951963821273,0.9680790537214742,1.0810811570613734,0.9296808240168443,1.1401436640570408,0.871436487120535,1.373443856296052,1.1555717635721825
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.6,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.2,0.9,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.2
max,30.2,17.1,11.0,24.0,22.0,16.3,16.3,16.0,24.0,21.0,21.0,24.0,18.0,12.0,27.6,23.6,21.0,14.5,20.0,14.0,18.8,36.0,20.4
