,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,All Stations Average
count,242.0,121.0,232.0,242.0,242.0,242.0,242.0,136.0,242.0,241.0,242.0,235.0,65.0,82.0,242.0,242.0,236.0,205.0,241.0,235.0,210.3
mean,0.43471074380165275,0.19834710743801653,0.21681034482758615,0.29958677685950413,0.21859504132231405,0.368595041322314,0.47479338842975205,0.31985294117647056,0.30702479338842986,0.31161825726141085,0.44421487603305787,0.8123404255319149,0.33076923076923076,0.2682926829268293,0.2256198347107438,0.28388429752066113,0.2711864406779661,0.28780487804878047,0.18091286307053941,0.3629787234042553,0.33089693442607154
std,0.9881632018518269,0.678476660256192,0.6828905956350602,0.8084870319431667,0.8761153467941151,0.9706508966301121,1.2292362431066268,0.8491232823235271,1.749046044497621,0.8208924738754044,0.8913994331876859,1.5219676490125702,0.8627577652727674,1.0309863488673068,1.53008713041411,0.9289425317108086,0.7667118735267195,0.6844187178537976,0.7165083134261968,0.9306461198544137,0.9758753830020014
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.3,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
max,7.3,5.0,6.0,6.0,7.0,7.6,13.1,6.0,24.0,5.0,6.0,12.0,5.5,7.0,21.1,6.7,5.0,4.0,8.2,6.0,8.4
