,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FAIRMONT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PHOENIXVILLE,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,WELLSBORO,All Stations Average
count,2999.0,5044.0,4670.0,5186.0,4409.0,3379.0,4361.0,4621.0,4971.0,2635.0,5188.0,5283.0,3598.0,3452.0,4443.0,5335.0,3040.0,5332.0,3724.0,5064.0,3411.0,4974.0,5269.0,4558.0,4372.8
mean,6.806935645215072,1.5674068199841396,2.2663811563169163,2.5777092171230236,1.2574279882059425,3.596330275229358,2.6588855767025916,1.157108850898074,2.2265137799235566,0.9958254269449716,1.8562066306861988,5.6161272004542875,4.737354085603113,2.4466975666280417,1.2527571460724736,0.5070852858481724,0.049342105263157895,1.1539009752438107,1.2432867883995704,3.080173775671406,0.7296980357666374,2.7324085243264977,0.8806225090149934,3.5199648968845985,2.288172927600275
std,8.349184261436246,2.8817697346819084,3.468693071123772,4.486886135287112,3.2105775735887634,5.886719116654078,4.304307587016499,2.596448580758277,3.8051893372226298,2.5186437757517868,3.758281906568523,5.78193772493963,6.835710570800409,4.072125469523551,2.5225303418879785,2.02143056035766,0.5509866361223337,2.5259125605782726,3.189745782132994,4.168091915101641,2.0788546917983117,3.771388784698468,2.3096440195397063,4.965619856186436,3.7525283330732075
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7
75%,10.0,2.0,3.0,3.75,1.0,5.0,4.0,1.0,3.0,1.0,2.0,9.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,2.9
max,45.0,22.0,21.0,43.0,49.0,36.0,39.0,20.0,40.0,24.0,33.0,34.0,39.0,32.0,19.0,28.0,15.0,26.0,28.0,29.0,20.0,50.0,26.0,40.0,31.6
