,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PITTSBURGH ASOS,SAXTON,All Stations Average
count,121.0,116.0,121.0,121.0,121.0,121.0,85.0,121.0,120.0,121.0,119.0,121.0,121.0,117.0,86.0,120.0,121.0,116.1
mean,0.5231404958677687,0.29655172413793107,0.3512396694214876,0.28760330578512394,0.47520661157024785,0.43223140495867785,0.45294117647058824,0.29834710743801657,0.4041666666666667,0.5082644628099173,0.8546218487394959,0.2099173553719008,0.31404958677685946,0.38461538461538464,0.27674418604651163,0.22500000000000003,0.39669421487603307,0.39360795303250656
std,1.0280856263446247,0.8653655708510671,0.7922663380538276,0.9525903498648537,1.1915173094095555,0.8715135183530855,1.0048203150544972,1.1019666866618059,0.9413378494348946,0.9286717016667324,1.43767396289506,0.9200910243627778,1.0324974402812468,0.9454624287850015,0.7288466987370648,0.6578868641722668,0.9439221264046374,0.961442106549
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.4,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.5,0.2
max,4.2,6.0,4.0,6.0,7.6,5.7,6.0,9.5,5.0,4.0,5.0,6.8,6.7,5.0,4.0,3.6,6.0,5.6
