,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FAIRMONT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PHOENIXVILLE,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,WELLSBORO,All Stations Average
count,2425.0,2337.0,2317.0,2421.0,2420.0,2393.0,2425.0,2390.0,2305.0,2424.0,2424.0,2395.0,1813.0,806.0,1870.0,2425.0,1412.0,2425.0,1592.0,2275.0,512.0,2098.0,2424.0,2319.0,2110.3
mean,6.33979381443299,1.7145913564398803,2.621061717738455,2.3444857496902105,1.4867768595041322,3.903050564145424,2.89979381443299,1.2602510460251046,2.762689804772234,1.0664191419141915,2.097359735973597,6.077244258872652,6.954219525648097,3.0124069478908186,1.3540106951871658,0.4585567010309278,0.10623229461756374,1.2684536082474227,1.7832914572864322,3.4971428571428573,0.39453125,3.2678741658722594,0.9682343234323433,3.6494178525226393,2.553662064284182
std,7.548632476660969,3.2872361367847276,3.734686186316887,3.6463895244404916,3.1431715563453775,5.973516934751755,4.75543157825074,2.7850377493920284,4.62965190803668,2.599113036284237,4.256675129995691,6.119688627205358,8.109460865566147,5.205094963426455,2.747209773718855,1.6578253465685096,0.8048687581177489,2.599999738276811,3.674725159599632,4.6439040639741975,1.2149627228060205,4.178164663070523,2.339045210786511,4.9677986678218975,3.9425954490915944
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0
75%,10.0,2.0,4.0,3.0,2.0,5.0,4.0,1.0,4.0,1.0,2.0,10.0,11.0,3.0,2.0,0.0,0.0,1.0,2.0,6.0,0.0,5.0,1.0,5.0,3.5
max,44.0,22.0,21.0,21.0,22.0,36.0,39.0,20.0,40.0,24.0,33.0,29.0,39.0,32.0,19.0,22.0,15.0,26.0,24.0,29.0,8.0,50.0,21.0,34.0,27.9
