,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,All Stations Average
count,1212.0,1150.0,1086.0,1210.0,1212.0,1212.0,1212.0,1171.0,1212.0,1212.0,1153.0,884.0,1210.0,1212.0,1212.0,1150.0,1211.0,270.0,1200.0,1212.0,1016.0,1124.7
mean,0.6515676567656773,0.285304347826087,0.31556169429097636,0.49322314049586774,0.2863036303630363,0.5111386138613865,0.6104785478547855,0.39299743808710497,0.24579207920792068,0.46815181518151816,0.6706851691240243,0.6611990950226241,0.24900826446280996,0.17021452145214522,0.32912541254125405,0.2825217391304348,0.51345995045417,0.20666666666666667,0.5569999999999999,0.24818481848184823,0.45688976377952756,0.4097844935738031
std,1.5902227644281381,0.8460226113419737,0.9127196446042508,1.2928333442635886,1.148809256893166,1.2758636034183102,1.3173607107827316,1.1230234598824733,1.043349644303155,1.2170786659035335,1.5135066549966238,1.639434455203907,0.8077395523196875,0.8926596451806974,0.9343441921007439,1.189400053166386,1.2807121607465055,0.9453230599812669,1.2329305596034301,0.8055474499603447,1.5408499259304718,1.169034829286257
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.6,0.0,0.0,0.5,0.0,0.4,0.6,0.0,0.0,0.325,0.5,0.5,0.0,0.0,0.2,0.0,0.5,0.0,0.5,0.0,0.0,0.2
max,17.9,10.0,9.0,14.0,13.0,15.1,10.6,11.0,13.0,14.0,14.0,15.0,7.5,13.9,10.2,20.0,12.0,10.0,10.7,7.5,19.5,12.8
