,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FAIRMONT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PHOENIXVILLE,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,WELLSBORO,All Stations Average
count,2425.0,1986.0,2232.0,2421.0,2423.0,2393.0,2425.0,2411.0,2212.0,2425.0,2424.0,2366.0,1741.0,789.0,1971.0,2425.0,1643.0,2425.0,1544.0,2280.0,847.0,2273.0,2423.0,2106.0,2108.8
mean,0.5697319587628848,0.2918429003021148,0.30663082437275974,0.4461792647666249,0.2531985142385473,0.4311324697033021,0.6463917525773203,0.2900041476565738,0.38187160940325493,0.24597938144329906,0.4150990099009901,0.634277261200338,0.7583572659391151,0.4614702154626109,0.23008625063419594,0.16589690721649483,0.07133292757151552,0.2995876288659798,0.22661917098445597,0.428640350877193,0.15879574970484062,0.47461504619445627,0.22104828724721406,0.3929724596391262,0.3667400564443836
std,1.3469557299166346,0.8652565773091501,0.8764772670929686,1.191331839990347,1.0444325108997652,1.0933193740923,1.4617074490466895,0.9924965587194504,1.0566545287352915,1.087792921547433,1.0777775117968442,1.364368390624306,1.6691850344357466,1.3764649300813157,0.7930042744898005,0.9043463246157405,0.6527836864881751,0.8661539136649754,1.0616010213343106,1.1281004830718433,0.831396310229227,1.1103318578604804,0.7345171873367888,1.2973233896713847,1.0784907947104572
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.5,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.3,1.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.2
max,17.9,10.0,9.0,14.0,15.6,15.1,14.2,16.8,11.0,24.0,14.0,14.0,15.0,13.0,7.5,21.1,15.0,10.2,20.0,12.0,10.0,10.7,8.2,19.5,14.1
