,Butler,Clarion,Confluence,Dubois,Erie,Franklin,Indiana,Laurel_Mountain,New_Castle,Pittsburgh,Tionesta,Uniontown,Warren,Waynesburg,All Stations Average
count,2064.0,2293.0,2711.0,1929.0,2221.0,2451.0,2184.0,2393.0,1464.0,1766.0,2925.0,714.0,2859.0,1330.0,2093.1
mean,31.526647286821706,32.21718273004797,34.040575433419406,30.141005702436495,30.156686177397567,31.476132190942472,32.8507326007326,31.608023401587964,31.845628415300546,30.672706681766705,31.875213675213676,32.292717086834735,31.584819867086395,31.778195488721803,31.71901905273643
std,9.679361095459699,9.881846556259068,10.299635229852361,10.434433860247944,9.448901771598061,9.535312537993308,9.954761136021034,11.330736417904516,9.142492859246843,9.8858305461691,9.809565897755757,9.715144994103483,9.591666351305507,9.546037815517977,9.875409076388191
min,-6.0,-12.0,-10.0,-9.0,-4.0,-3.0,-6.0,-10.0,-4.0,-3.0,-3.0,-1.0,-3.0,-7.0,-5.785714285714286
25%,25.0,26.0,28.0,23.0,24.0,25.0,26.0,24.0,26.0,25.0,26.0,26.0,25.0,26.0,25.4
50%,32.0,32.0,34.0,31.0,30.0,32.0,33.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,31.9
75%,37.0,38.0,40.0,37.0,36.0,37.0,39.0,39.0,37.0,36.75,38.0,38.0,37.0,37.0,37.6
max,91.0,74.0,70.0,64.0,65.0,69.0,73.0,68.0,75.0,67.0,68.0,70.0,82.0,69.0,71.8
