,BRADFORD REGIONAL AIRPORT,BUTLER,CLARION,CONFLUENCE,DANVILLE,DUBOIS REGIONAL AIRPORT,ERIE INTERNATIONAL AIRPORT,FRANKLIN,HARRISBURG CAPITAL CITY AIRPORT,INDIANA,KANE,LAUREL MOUNTAIN,LINESVILLE,NEW CASTLE,PHILADELPHIA INTERNATIONAL AIRPORT,PITTSBURGH ASOS,SAXTON,TIONESTA,UNIONTOWN,WARREN,WAYNESBURG,WELLSBORO,All Stations Average
count,2999.0,3514.0,3276.0,3629.0,3288.0,3203.0,3360.0,3453.0,2635.0,3610.0,3607.0,2236.0,1998.0,2786.0,3637.0,3635.0,2240.0,3384.0,1719.0,3299.0,3636.0,2860.0,3091.1
mean,6.806935645215072,1.4800796812749004,2.255799755799756,2.236428768255718,1.2989659367396593,3.7939431782703714,2.6797619047619046,2.4358528815522735,0.9958254269449716,1.978393351800554,5.772941502633768,6.02906976744186,2.438938938938939,1.1389088298636036,0.4423975804234259,1.1485557083906466,1.3111607142857142,3.1799645390070923,0.6608493310063991,2.8878448014549862,0.8831133113311331,3.7475524475524478,2.527422000133873
std,8.349184261436246,2.9593077398896828,3.509274073152638,3.645659549285103,3.4871713472274526,5.983999133271984,4.465788173433687,4.203783589774827,2.5186437757517868,4.097465736156418,6.058941383208145,7.704936401478931,4.60508800443239,2.557296196346897,1.9052921414881685,2.5373261897180157,3.258144772932224,4.418386649448164,2.099292408087679,4.035639536621079,2.361038819540432,5.396478223647813,4.098097186651352
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.7
75%,10.0,2.0,3.0,3.0,1.0,5.0,4.0,3.0,1.0,2.0,9.0,10.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,3.3
max,45.0,22.0,21.0,23.0,49.0,36.0,39.0,40.0,24.0,33.0,34.0,39.0,32.0,19.0,28.0,26.0,24.0,29.0,20.0,50.0,26.0,40.0,31.8
