STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOW,SNWD,TMAX,TMIN
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/2/1970,0,0,55,29
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/3/1970,0,0,52,38
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/4/1970,0,0,46,37
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/5/1970,0,0,52,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/6/1970,0,0,40,22
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/7/1970,0,0,46,20
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/8/1970,0,0,41,0
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/9/1970,0,0,33,18
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/10/1970,0,0,38,16
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/11/1970,0,0,36,18
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/12/1970,0,0,41,19
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/13/1970,3,3,31,26
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/14/1970,0,0,36,20
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/15/1970,1,1,44,14
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/16/1970,0,0,30,10
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/17/1970,0,0,29,9
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/18/1970,2,2,38,11
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/19/1970,0,0,41,32
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/20/1970,0,0,44,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/21/1970,0,0,52,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/22/1970,0,0,42,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/23/1970,0,0,37,32
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/24/1970,0,0,37,33
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/25/1970,0,0,39,29
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/26/1970,0,0,49,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/27/1970,0,0,61,31
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/28/1970,0,0,57,27
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/29/1970,0,0,41,8
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/30/1970,1,0,48,14
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,3/31/1970,0,0,45,20
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/1/1970,0,0,52,28
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/2/1970,0,0,52,33
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/3/1970,0,0,63,24
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/4/1970,0,0,53,27
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/5/1970,0,0,43,21
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/6/1970,0,0,50,23
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/7/1970,0,0,52,27
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/8/1970,0,0,45,25
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/9/1970,0,0,68,28
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/10/1970,0,0,64,28
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/11/1970,0,0,48,22
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/12/1970,0,0,54,26
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/13/1970,0,0,62,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/14/1970,0,0,62,40
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/15/1970,0,0,46,31
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/16/1970,0,0,67,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/17/1970,0,0,69,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/18/1970,0,0,76,30
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/19/1970,0,0,60,32
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/20/1970,0,0,55,39
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/21/1970,0,0,68,48
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/22/1970,0,0,62,36
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/23/1970,0,0,68,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/24/1970,0,0,72,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/25/1970,0,0,70,35
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/26/1970,0,0,71,39
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/27/1970,0,0,77,41
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/28/1970,0,0,80,43
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/29/1970,0,0,78,48
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,4/30/1970,0,0,82,54
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/1/1970,0,0,89,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/2/1970,0,0,89,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/3/1970,0,0,68,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/4/1970,0,0,59,33
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/5/1970,0,0,72,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/6/1970,0,0,72,35
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/7/1970,0,0,49,23
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/8/1970,0,0,62,24
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/9/1970,0,0,83,44
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/10/1970,0,0,87,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/11/1970,0,0,81,51
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/12/1970,0,0,80,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/13/1970,0,0,80,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/14/1970,0,0,73,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/15/1970,0,0,72,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/16/1970,0,0,85,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/17/1970,0,0,75,41
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/18/1970,0,0,69,34
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/19/1970,0,0,69,35
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/20/1970,0,0,80,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/21/1970,0,0,82,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/22/1970,0,0,86,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/23/1970,0,0,88,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/24/1970,0,0,85,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/25/1970,0,0,80,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/26/1970,0,0,86,59
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/27/1970,0,0,75,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/28/1970,0,0,60,38
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/29/1970,0,0,75,40
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/30/1970,0,0,81,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,5/31/1970,0,0,81,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/1/1970,0,0,87,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/2/1970,0,0,83,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/3/1970,0,0,87,59
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/4/1970,0,0,76,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/5/1970,0,0,70,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/6/1970,0,0,80,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/7/1970,0,0,76,39
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/8/1970,0,0,71,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/9/1970,0,0,87,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/10/1970,0,0,87,51
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/11/1970,0,0,88,53
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/12/1970,0,0,88,60
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/13/1970,0,0,87,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/14/1970,0,0,80,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/15/1970,0,0,81,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/16/1970,0,0,70,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/17/1970,0,0,82,64
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/18/1970,0,0,86,63
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/19/1970,0,0,88,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/20/1970,0,0,73,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/21/1970,0,0,70,43
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/22/1970,0,0,70,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/23/1970,0,0,75,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/24/1970,0,0,80,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/25/1970,0,0,82,51
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/26/1970,0,0,78,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/27/1970,0,0,83,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/28/1970,0,0,70,43
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/29/1970,0,0,75,53
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,6/30/1970,0,0,80,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/1/1970,0,0,88,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/2/1970,0,0,90,61
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/3/1970,0,0,90,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/4/1970,0,0,88,68
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/5/1970,0,0,80,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/6/1970,0,0,77,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/7/1970,0,0,79,48
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/8/1970,0,0,81,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/9/1970,0,0,83,53
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/10/1970,0,0,78,60
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/11/1970,0,0,75,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/12/1970,0,0,79,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/13/1970,0,0,83,54
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/14/1970,0,0,85,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/15/1970,0,0,88,63
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/16/1970,0,0,88,67
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/17/1970,0,0,73,48
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/18/1970,0,0,85,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/19/1970,0,0,86,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/20/1970,0,0,86,63
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/21/1970,0,0,73,51
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/22/1970,0,0,73,45
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/23/1970,0,0,77,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/24/1970,0,0,73,59
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/25/1970,0,0,88,60
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/26/1970,0,0,87,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/27/1970,0,0,89,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/28/1970,0,0,87,63
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/29/1970,0,0,89,65
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/30/1970,0,0,90,64
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,7/31/1970,0,0,79,66
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/1/1970,0,0,88,67
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/2/1970,0,0,89,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/3/1970,0,0,82,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/4/1970,0,0,78,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/5/1970,0,0,77,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/6/1970,0,0,79,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/7/1970,0,0,81,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/8/1970,0,0,83,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/9/1970,0,0,85,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/10/1970,0,0,84,59
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/11/1970,0,0,84,52
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/12/1970,0,0,86,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/13/1970,0,0,88,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/14/1970,0,0,87,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/15/1970,0,0,89,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/16/1970,0,0,88,58
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/17/1970,0,0,87,57
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/18/1970,0,0,88,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/19/1970,0,0,86,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/20/1970,0,0,89,60
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/21/1970,0,0,83,55
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/22/1970,0,0,77,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/23/1970,0,0,83,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/24/1970,0,0,78,51
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/25/1970,0,0,77,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/26/1970,0,0,81,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/27/1970,0,0,85,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/28/1970,0,0,86,56
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/29/1970,0,0,89,61
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/30/1970,0,0,84,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,8/31/1970,0,0,88,60
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/1/1970,0,0,75,40
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/2/1970,0,0,73,39
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/3/1970,0,0,78,39
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/4/1970,0,0,86,53
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/5/1970,0,0,86,63
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/6/1970,0,0,80,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/7/1970,0,0,79,47
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/8/1970,0,0,80,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/9/1970,0,0,86,53
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/10/1970,0,0,83,61
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/11/1970,0,0,82,46
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/12/1970,0,0,72,41
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/13/1970,0,0,79,42
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/14/1970,0,0,84,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/15/1970,0,0,78,62
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/16/1970,0,0,87,61
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/17/1970,0,0,81,49
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/18/1970,0,0,86,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/19/1970,0,0,75,50
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/20/1970,0,0,83,45
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/21/1970,0,0,83,48
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/22/1970,0,0,86,66
USC00361139,"BUTLER 2 SW, PA US",40.8415,-79.9163,304.8,9/23/1970,0,0,89,63
